Timestamp,Therapist joint angle 0,Therapist joint angle 1,Therapist joint angle 2,Patient joint angle 0,Patient joint angle 1,Patient joint angle 2,Therapist position x,Therapist position y,Therapist position z,Patient position x,Patient position y,Patient position z,Virtual position x, Patient Constant Force, Recovery Factor, Assistance Level
6.38217E+17,-35.03366,25.34197,16.62325,-29.21435,18.7727,18.67781,-91.08344,-47.35037,-38.43188,-82.46618,-60.06306,-20.88089,0.001067912,0.06628798,0.7726147,0.06628798
6.38217E+17,-35.0101,24.9913,16.55321,-29.19079,19.14675,19.26149,-91.1395,-48.13559,-38.23813,-82.89415,-58.79815,-19.9724,0.001067912,0.064161,0.773887,0.064161
6.38217E+17,-34.96298,24.82765,16.50652,-29.16723,19.35715,19.56501,-91.06469,-48.51195,-38.11714,-83.07913,-58.10104,-19.49756,0.001067912,0.06317187,0.7745319,0.06317187
6.38217E+17,-34.96298,24.54711,16.31974,-29.09655,20.01174,20.24208,-90.98201,-49.22803,-38.23539,-83.36642,-56.13013,-18.5489,0.001067912,0.06223544,0.7758086,0.06223544
6.38217E+17,-34.96298,24.28995,16.29639,-29.09655,20.29228,20.80241,-91.09391,-49.78827,-38.07536,-83.85095,-55.05999,-17.67824,0.001067912,0.0620877,0.7770405,0.0620877
6.38217E+17,-34.96298,23.98604,16.06292,-29.21435,20.52606,21.3861,-90.96061,-50.58517,-38.26598,-84.68655,-54.06113,-16.91035,0.001067912,0.06245755,0.7782044,0.06245755
6.38217E+17,-34.96298,23.9159,15.92284,-29.26147,20.61958,21.66626,-90.81898,-50.82417,-38.46852,-85.07018,-53.61811,-16.51759,0.001067912,0.06323043,0.7787463,0.06323043
6.38217E+17,-34.96298,23.89252,15.71271,-29.37927,20.61958,21.87639,-90.56199,-51.00721,-38.83606,-85.60497,-53.43673,-16.29706,0.001067912,0.06388139,0.7797687,0.06388139
6.38217E+17,-34.96298,23.89252,15.57263,-29.42639,20.64295,22.03982,-90.38207,-51.09512,-39.09336,-85.89388,-53.24357,-16.07695,0.001067912,0.06454355,0.7807264,0.06454355
6.38217E+17,-34.96298,23.89252,15.52593,-29.44995,20.73647,22.48342,-90.32207,-51.12426,-39.17916,-86.38846,-52.64885,-15.34723,0.001067912,0.0660787,0.7815802,0.0660787
6.38217E+17,-34.96298,23.89252,15.52593,-29.44995,20.82998,22.67019,-90.32207,-51.12426,-39.17916,-86.54784,-52.27847,-15.06495,0.001067912,0.0665932,0.781975,0.0665932
6.38217E+17,-34.96298,23.89252,15.52593,-29.42639,20.87674,22.81028,-90.32207,-51.12426,-39.17916,-86.61349,-52.05075,-14.80122,0.001067912,0.06701779,0.7827256,0.06701779
6.38217E+17,-34.96298,23.9159,15.52593,-29.40283,20.87674,22.85697,-90.30944,-51.07451,-39.19723,-86.59953,-52.00858,-14.67836,0.001067912,0.06717788,0.7834328,0.06717788
6.38217E+17,-34.96298,23.9159,15.52593,-29.40283,20.87674,22.85697,-90.30944,-51.07451,-39.19723,-86.59953,-52.00858,-14.67836,0.001067912,0.0670711,0.7837771,0.0670711
6.38217E+17,-34.96298,23.93928,15.54928,-29.35571,20.87674,22.78693,-90.3268,-51.01022,-39.17241,-86.39946,-52.07181,-14.73815,0.001067912,0.06674007,0.7844542,0.06674007
6.38217E+17,-34.96298,24.10293,15.68936,-29.33215,20.92349,22.78693,-90.41788,-50.57455,-39.04215,-86.31727,-51.97015,-14.73648,0.001067912,0.06631461,0.7851169,0.06631461
6.38217E+17,-34.96298,24.17306,15.73606,-29.30859,21.017,22.78693,-90.43958,-50.39616,-39.01112,-86.21597,-51.76692,-14.76892,0.001067912,0.06599911,0.7857653,0.06599911
6.38217E+17,-34.96298,24.21982,15.73606,-29.30859,21.06376,22.78693,-90.41402,-50.29691,-39.04767,-86.19684,-51.66536,-14.80299,0.001067912,0.06590444,0.7860831,0.06590444
6.38217E+17,-34.96298,24.2432,15.73606,-29.30859,21.06376,22.78693,-90.40122,-50.24729,-39.06597,-86.19684,-51.66536,-14.80299,0.001067912,0.06576312,0.7867029,0.06576312
6.38217E+17,-34.96298,24.2432,15.59597,-29.30859,21.06376,22.76358,-90.22134,-50.33533,-39.32323,-86.17232,-51.68639,-14.84668,0.001067912,0.06606047,0.7872959,0.06606047
6.38217E+17,-34.96298,24.2432,15.4092,-29.30859,21.06376,22.69354,-89.98129,-50.45152,-39.66653,-86.09872,-51.74938,-14.97779,0.001067912,0.06636572,0.787849,0.06636572
6.38217E+17,-34.96298,24.2432,15.3625,-29.30859,21.06376,22.67019,-89.92125,-50.48035,-39.7524,-86.07417,-51.77033,-15.0215,0.001067912,0.0663767,0.7881162,0.0663767
6.38217E+17,-34.96298,24.2432,15.24576,-29.30859,21.06376,22.64685,-89.77107,-50.55206,-39.96716,-86.04963,-51.79126,-15.06523,0.001067912,0.06660559,0.7886287,0.06660559
6.38217E+17,-34.96298,24.2432,15.17572,-29.30859,21.04038,22.57681,-89.68093,-50.59483,-40.09607,-85.98553,-51.90472,-15.17941,0.001067912,0.06648748,0.7891231,0.06648748
6.38217E+17,-34.96298,24.2432,15.17572,-29.30859,21.04038,22.55346,-89.68093,-50.59483,-40.09607,-85.96097,-51.92557,-15.22316,0.001067912,0.06630927,0.7893667,0.06630927
6.38217E+17,-34.96298,24.36009,15.26911,-29.30859,21.04038,22.53011,-89.73695,-50.28981,-40.01595,-85.9364,-51.9464,-15.26693,0.001067912,0.0659171,0.7898544,0.0659171
6.38217E+17,-34.96298,24.75752,15.26911,-29.26147,21.04038,22.53011,-89.51665,-49.44852,-40.33101,-85.81048,-51.9464,-15.19631,0.001067912,0.06691783,0.7903,0.06691783
6.38217E+17,-34.8923,25.2017,15.43254,-29.16723,21.06376,22.50677,-89.31875,-48.41073,-40.27791,-85.52447,-51.91643,-15.11627,0.001067912,0.06719988,0.7907073,0.06719988
6.38217E+17,-34.86874,25.45886,15.54928,-29.14367,21.06376,22.50677,-89.26937,-47.7972,-40.23647,-85.46145,-51.91643,-15.08111,0.001067912,0.06736387,0.790903,0.06736387
6.38217E+17,-34.86874,25.85629,15.78275,-29.07299,21.06376,22.46007,-89.33952,-46.8167,-40.1358,-85.22352,-51.95799,-15.06357,0.001067912,0.06763327,0.7912778,0.06763327
6.38217E+17,-34.86874,26.23034,15.94618,-29.04943,21.06376,22.43672,-89.33017,-45.93055,-40.14921,-85.13609,-51.97874,-15.07244,0.001067912,0.06807163,0.7916272,0.06807163
